Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A01001_001,SE_A01001_002
36047014500,14000US36047014500,"Census Tract 145, Kings County, New York","Census Tract 145, Kings County, New York",ny,140,0,ACSSF,4594,36,47,14500,4078,217
36047014700,14000US36047014700,"Census Tract 147, Kings County, New York","Census Tract 147, Kings County, New York",ny,140,0,ACSSF,4595,36,47,14700,2535,263
36047014800,14000US36047014800,"Census Tract 148, Kings County, New York","Census Tract 148, Kings County, New York",ny,140,0,ACSSF,4596,36,47,14800,1289,24
36047014900,14000US36047014900,"Census Tract 149, Kings County, New York","Census Tract 149, Kings County, New York",ny,140,0,ACSSF,4597,36,47,14900,6318,484
36047015000,14000US36047015000,"Census Tract 150, Kings County, New York","Census Tract 150, Kings County, New York",ny,140,0,ACSSF,4598,36,47,15000,1547,66
36047015100,14000US36047015100,"Census Tract 151, Kings County, New York","Census Tract 151, Kings County, New York",ny,140,0,ACSSF,4599,36,47,15100,4185,384
36047015200,14000US36047015200,"Census Tract 152, Kings County, New York","Census Tract 152, Kings County, New York",ny,140,0,ACSSF,4600,36,47,15200,2465,181
36047015300,14000US36047015300,"Census Tract 153, Kings County, New York","Census Tract 153, Kings County, New York",ny,140,0,ACSSF,4601,36,47,15300,2843,152
36047015400,14000US36047015400,"Census Tract 154, Kings County, New York","Census Tract 154, Kings County, New York",ny,140,0,ACSSF,4602,36,47,15400,0,0
36047015500,14000US36047015500,"Census Tract 155, Kings County, New York","Census Tract 155, Kings County, New York",ny,140,0,ACSSF,4603,36,47,15500,3741,297
36047015700,14000US36047015700,"Census Tract 157, Kings County, New York","Census Tract 157, Kings County, New York",ny,140,0,ACSSF,4604,36,47,15700,4079,283
36047015900,14000US36047015900,"Census Tract 159, Kings County, New York","Census Tract 159, Kings County, New York",ny,140,0,ACSSF,4605,36,47,15900,5161,485
36047016000,14000US36047016000,"Census Tract 160, Kings County, New York","Census Tract 160, Kings County, New York",ny,140,0,ACSSF,4606,36,47,16000,3983,228
36047016100,14000US36047016100,"Census Tract 161, Kings County, New York","Census Tract 161, Kings County, New York",ny,140,0,ACSSF,4607,36,47,16100,3243,251
36047016200,14000US36047016200,"Census Tract 162, Kings County, New York","Census Tract 162, Kings County, New York",ny,140,0,ACSSF,4608,36,47,16200,2062,49
36047016300,14000US36047016300,"Census Tract 163, Kings County, New York","Census Tract 163, Kings County, New York",ny,140,0,ACSSF,4609,36,47,16300,3225,264
36047016400,14000US36047016400,"Census Tract 164, Kings County, New York","Census Tract 164, Kings County, New York",ny,140,0,ACSSF,4610,36,47,16400,774,159
36047016500,14000US36047016500,"Census Tract 165, Kings County, New York","Census Tract 165, Kings County, New York",ny,140,0,ACSSF,4611,36,47,16500,5859,525
36047016600,14000US36047016600,"Census Tract 166, Kings County, New York","Census Tract 166, Kings County, New York",ny,140,0,ACSSF,4612,36,47,16600,1798,94
36047016700,14000US36047016700,"Census Tract 167, Kings County, New York","Census Tract 167, Kings County, New York",ny,140,0,ACSSF,4613,36,47,16700,5800,759
36047016800,14000US36047016800,"Census Tract 168, Kings County, New York","Census Tract 168, Kings County, New York",ny,140,0,ACSSF,4614,36,47,16800,1676,106
36047016900,14000US36047016900,"Census Tract 169, Kings County, New York","Census Tract 169, Kings County, New York",ny,140,0,ACSSF,4615,36,47,16900,4739,373
36047017000,14000US36047017000,"Census Tract 170, Kings County, New York","Census Tract 170, Kings County, New York",ny,140,0,ACSSF,4616,36,47,17000,3419,188
36047017100,14000US36047017100,"Census Tract 171, Kings County, New York","Census Tract 171, Kings County, New York",ny,140,0,ACSSF,4617,36,47,17100,4098,355
36047017200,14000US36047017200,"Census Tract 172, Kings County, New York","Census Tract 172, Kings County, New York",ny,140,0,ACSSF,4618,36,47,17200,3360,218
36047017400,14000US36047017400,"Census Tract 174, Kings County, New York","Census Tract 174, Kings County, New York",ny,140,0,ACSSF,4619,36,47,17400,2081,168
36047017500,14000US36047017500,"Census Tract 175, Kings County, New York","Census Tract 175, Kings County, New York",ny,140,0,ACSSF,4620,36,47,17500,0,0
36047017600,14000US36047017600,"Census Tract 176, Kings County, New York","Census Tract 176, Kings County, New York",ny,140,0,ACSSF,4621,36,47,17600,2571,222
36047017700,14000US36047017700,"Census Tract 177, Kings County, New York","Census Tract 177, Kings County, New York",ny,140,0,ACSSF,4622,36,47,17700,0,0
36047017800,14000US36047017800,"Census Tract 178, Kings County, New York","Census Tract 178, Kings County, New York",ny,140,0,ACSSF,4623,36,47,17800,3058,223
36047017900,14000US36047017900,"Census Tract 179, Kings County, New York","Census Tract 179, Kings County, New York",ny,140,0,ACSSF,4624,36,47,17900,4540,292
36047018000,14000US36047018000,"Census Tract 180, Kings County, New York","Census Tract 180, Kings County, New York",ny,140,0,ACSSF,4625,36,47,18000,3298,155
36047018100,14000US36047018100,"Census Tract 181, Kings County, New York","Census Tract 181, Kings County, New York",ny,140,0,ACSSF,4626,36,47,18100,3619,161
36047018200,14000US36047018200,"Census Tract 182, Kings County, New York","Census Tract 182, Kings County, New York",ny,140,0,ACSSF,4627,36,47,18200,3574,319
36047018300,14000US36047018300,"Census Tract 183, Kings County, New York","Census Tract 183, Kings County, New York",ny,140,0,ACSSF,4628,36,47,18300,2817,199
36047018400,14000US36047018400,"Census Tract 184, Kings County, New York","Census Tract 184, Kings County, New York",ny,140,0,ACSSF,4629,36,47,18400,2993,225
36047018501,14000US36047018501,"Census Tract 185.01, Kings County, New York","Census Tract 185.01, Kings County, New York",ny,140,0,ACSSF,4630,36,47,18501,4951,414
36047018600,14000US36047018600,"Census Tract 186, Kings County, New York","Census Tract 186, Kings County, New York",ny,140,0,ACSSF,4631,36,47,18600,2158,201
36047018700,14000US36047018700,"Census Tract 187, Kings County, New York","Census Tract 187, Kings County, New York",ny,140,0,ACSSF,4632,36,47,18700,1614,137
36047018800,14000US36047018800,"Census Tract 188, Kings County, New York","Census Tract 188, Kings County, New York",ny,140,0,ACSSF,4633,36,47,18800,2875,332
36047019000,14000US36047019000,"Census Tract 190, Kings County, New York","Census Tract 190, Kings County, New York",ny,140,0,ACSSF,4634,36,47,19000,4682,342
36047019100,14000US36047019100,"Census Tract 191, Kings County, New York","Census Tract 191, Kings County, New York",ny,140,0,ACSSF,4635,36,47,19100,2826,225
36047019200,14000US36047019200,"Census Tract 192, Kings County, New York","Census Tract 192, Kings County, New York",ny,140,0,ACSSF,4636,36,47,19200,3702,348
36047019300,14000US36047019300,"Census Tract 193, Kings County, New York","Census Tract 193, Kings County, New York",ny,140,0,ACSSF,4637,36,47,19300,5861,248
36047019400,14000US36047019400,"Census Tract 194, Kings County, New York","Census Tract 194, Kings County, New York",ny,140,0,ACSSF,4638,36,47,19400,4031,307
36047019500,14000US36047019500,"Census Tract 195, Kings County, New York","Census Tract 195, Kings County, New York",ny,140,0,ACSSF,4639,36,47,19500,3901,165
36047019600,14000US36047019600,"Census Tract 196, Kings County, New York","Census Tract 196, Kings County, New York",ny,140,0,ACSSF,4640,36,47,19600,4430,367
36047019700,14000US36047019700,"Census Tract 197, Kings County, New York","Census Tract 197, Kings County, New York",ny,140,0,ACSSF,4641,36,47,19700,3561,307
